AAR,BYDEL,ALDERSKAT,FORSIKRET,ARBLED,HFUDD,PERSONER
2012,7,3,1,1,5,12
2012,7,3,1,1,6,82
2012,7,3,1,2,1,188
2012,7,3,1,2,2,169
2012,7,3,1,2,3,17
2012,7,3,1,2,4,79
2012,7,3,1,2,5,10
2012,7,3,1,2,6,57
2012,7,3,1,3,1,156
2012,7,3,1,3,2,128
2012,7,3,1,3,3,15
2012,7,3,1,3,4,52
2012,7,3,1,3,5,11
2012,7,3,1,3,6,49
2012,7,3,1,4,1,125
2012,7,3,1,4,2,95
2012,7,3,1,4,3,27
2012,7,3,1,4,4,31
2012,7,3,1,4,5,8
2012,7,3,1,4,6,55
2012,7,3,1,5,1,58
2012,7,3,1,5,2,51
2012,7,3,1,5,3,11
2012,7,3,1,5,4,10
2012,7,3,1,5,5,4
2012,7,3,1,5,6,22
2012,7,3,3,1,1,101
2012,7,3,3,1,2,32
2012,7,3,3,1,3,3
2012,7,3,3,1,4,3
2012,7,3,3,1,5,1
2012,7,3,3,1,6,4
2012,7,3,3,2,1,84
2012,7,3,3,2,2,28
2012,7,3,3,2,3,6
2012,7,3,3,2,4,4
